Aachen	ɑː k eː n
stjäla	ˈɧ ɛː ˌl a
stjälk	¹ ɧ ɛ l k
stjälk	/ e n . w i k t i o n a r y . o r g
stjälk	/ e n . w i k t i o n a r y . o r g
stjälpa	ˈɧ ɛ l ˌp a
stjärna	/ e n . w i k t i o n a r y . o r g
stjärt	ˈɧ ɛ r t
stjärt	/ e n . w i k t i o n a r y . o r g
stjärtand	ˌɧ ɛ ʈ ˈa n d
stjärtand	/ e n . w i k t i o n a r y . o r g
Stockholm	² s t ɔ k h ɔ l m
Stockholmssyndrom	² s t ɔ k h ɔ l m s . s ʏ n ˌd r oː m
stod	s t uː d
stod	s t uː d
stod	s t uː ɡ
stod	s t uː d
stod	s t uː ɡ
stoft	s t ɔ f t
stol	s t uː l
stomme	s t u m e
stor	s t uː r
storlabb	ˌs t uː r ˈl a b
storlom	ˌs t uː r ˈl ʊ m
storm	s t ɔ r m
stormaktstid	² s t uː r m a k t s ˌt iː d
stormfågel	s t ɔ r m ˈf oː ɡ ɛ l
storskrake	ˌs t uː ɾ s ˈk ɾ ɑː k ɛ
storskrake	/ e n . w i k t i o n a r y . o r g
storspov	ˌs t uː r ˈs p uː v
storspov	/ e n . w i k t i o n a r y . o r g
stortrapp	ˌs t uː ɾ ˈt ɾ a p
stortrapp	/ e n . w i k t i o n a r y . o r g
stova	² s t oː v a
strandskata	ˌs t ɾ a n d ˈs k ɑː t a
strandskata	/ e n . w i k t i o n a r y . o r g
strass	ˈs t r a s
strejk	s t r ɛ jː k
strontium	ˈs t r ɔ n t s ɪ ɵ m
stryka	s t r yː k a
stråla	ˈs t ɾ oː ˌl a
stråle	s t r oː l ə
ströbröd	² s t r œː b r œː d
ström	s t r œ m
strömand	ˌs t ɾ œ m ˈa n d
strömand	/ e n . w i k t i o n a r y . o r g
strömming	ˈs t r œ m ˌɪ ŋ
strömming	/ e n . w i k t i o n a r y . o r g
stubb	s t ɵ b
stubb	/ e n . w i k t i o n a r y . o r g
stubbstjärtseglare	ˌs t ɵ b ɧ ɛ ʈ ˈs eː ɡ l a ɾ ɛ
stubbstjärtseglare	/ e n . w i k t i o n a r y . o r g
student	s t ɵ ˈd ɛ n t
studio	ˈs t ʉː d ɪ ʊ
studio	/ e n . w i k t i o n a r y . o r g
studsa	s t ɵ t s a
stuga	² s t ʉ̟ː ɡ a
stuga	/ e n . w i k t i o n a r y . o r g
stulit	s t ʉː l ɪ t
stut	s t ʉː t
stuva	² s t ʉ̟ː v a
stuva	/ e n . w i k t i o n a r y . o r g
styltlöpare	ˌs t ʏ l t ˈl øː p a ɾ ɛ
styltlöpare	/ e n . w i k t i o n a r y . o r g
styltsnäppa	s t ʏ l t ˈs n ɛ p a
styltsnäppa	/ e n . w i k t i o n a r y . o r g
styra	/ e n . w i k t i o n a r y . o r g
städerska	ˌs t ɛː ˈd ɛ ʂ k a
städerska	/ e n . w i k t i o n a r y . o r g
ställningstagande	² s t ɛ l n ɪ ŋ s ˌt ɑː ɡ a n d ɛ
stämma	² s t ɛ mː a
stäpp	s t ɛ p
stäppflyghöna	ˌs t ɛ p f l yː ɡ ˈh øː n a
stäppflyghöna	/ e n . w i k t i o n a r y . o r g
stäpphök	s t ɛ p ˈh øː k
stäppsångare	s t ɛ p ˈs ɔ ŋ a r ɛ
stäppvarg	² s t ɛ p ˌv a r j
stäppvipa	ˌs t ɛ p ˈv iː p a
stäppvipa	/ e n . w i k t i o n a r y . o r g
stäppörn	s t ɛ p ˈøː r n
stå	s t oː
stå	/ e n . w i k t i o n a r y . o r g
stål	ˈs t oː l
stöd	s t øː d
stöd	/ e n . w i k t i o n a r y . o r g
störa	² s t œː r a
större	/ e n . w i k t i o n a r y . o r g
större	/ e n . w i k t i o n a r y . o r g
större	/ e n . w i k t i o n a r y . o r g
störst	/ e n . w i k t i o n a r y . o r g
störst	/ e n . w i k t i o n a r y . o r g
störst	/ e n . w i k t i o n a r y . o r g
största	/ e n . w i k t i o n a r y . o r g
största	/ e n . w i k t i o n a r y . o r g
största	/ e n . w i k t i o n a r y . o r g
störste	/ e n . w i k t i o n a r y . o r g
störste	/ e n . w i k t i o n a r y . o r g
störste	/ e n . w i k t i o n a r y . o r g
störta	/ e n . w i k t i o n a r y . o r g
störta	/ e n . w i k t i o n a r y . o r g
störta	/ e n . w i k t i o n a r y . o r g
störtregn	ˈs t ɶ ʈ ˌr ɛ ŋ n
störtregn	ˈs t ɵ ʈ ˌr ɛ ŋ n
störtskur	ˈs t ɶ ʈ ˌs k ʉː r
störtskur	ˈs t ɵ ʈ ˌs k ʉː r
stød	/ e n . w i k t i o n a r y . o r g
stød	/ e n . w i k t i o n a r y . o r g
subjekt	s ɵ b ˈj ɛ k t
subjektiv	ˈs ɵ b j ɛ k t iː v
substantiv	ˈs ɵ b s t a n t iː v
succé	s ʉ k . s eː
succé	/ e n . w i k t i o n a r y . o r g
suck	s ɵ k
sumpvipa	ˌs ɵ m p ˈv iː p a
sumpvipa	/ e n . w i k t i o n a r y . o r g
sund	s ɵ n d
Sundsvall	ˈs ɵ nː d s v a l
supa	ˈs ʉː p a
super	² s ʉː p ɛ r
supinum	s ɵ p ˈiː n ˌɵ m
sur	s ʉː r
sur	/ e n . w i k t i o n a r y . o r g
sura	² s ʉː r a
sura	h i s
surpuppa	² s ʉ̟ː r ˌp ɵ p a
surströmming	ˈs ʉː r ˌs t r œ m ɪ ŋ
surströmming	/ e n . w i k t i o n a r y . o r g
svag	s v ɑː ɡ
svala	² s v ɑː l a
svan	s v ɑː n
svan	s v a n
svans	s v a n s
svans	s v ɑː n s
svans	s v ɑː n s
svansrem	ˌs v a n s ˈr ɛ m
svar	s v ɑː r
svara	ˈs v ɑː ˌr a
svart	¹ s v a r t
svart	/ e n . w i k t i o n a r y . o r g
svart	/ e n . w i k t i o n a r y . o r g
svartand	ˌs v a ʈ ˈa n d
svartand	/ e n . w i k t i o n a r y . o r g
svarthakedopping	ˌs v a ʈ h ɑː k ɛ ˈd ɔ p ɪ ŋ
svarthakedopping	/ e n . w i k t i o n a r y . o r g
svartis	² s v a r t iː s
svartis	¹ s v a r t ɪ s
svartis	¹ s v a r t ɪ s
svartis	/ e n . w i k t i o n a r y . o r g
svartis	¹ s v a r t ɪ s
svartis	/ e n . w i k t i o n a r y . o r g
svartkråka	s v a r t ˈk r oː k a
svartpeppar	ˌs v a ʈ ˈp ɛ p a ɾ
svartpeppar	/ e n . w i k t i o n a r y . o r g
svartsenap	ˌs v a ʈ ˈs eː n a p
svartsnäppa	ˌs v a r t ˈs n ɛ p a
svartsnäppa	/ e n . w i k t i o n a r y . o r g
svarttärna	ˌs v a r t ˈt ɜ r n a
svarv	s v a r v
svarv	/ e n . w i k t i o n a r y . o r g
svavel	ˈs v ɑː v ɛ l
Sveg	s v eː ɡ
svek	s v eː k
Sven	s v ɛ n
sven	s v ɛ n
svenne	/ e n . w i k t i o n a r y . o r g
svensk	s v ɛ nː s k
svensk	s w e n s k
svenska	² s v ɛ n s k a
svenskjävel	² s v ɛ nː s k ˌj ɛː v ɛ l
Sverige	¹ s v ɛ r j ɛ
Sverige	/ e n . w i k t i o n a r y . o r g
svika	² s v iː k a
svit	s v iː t
svit	/ e n . w i k t i o n a r y . o r g
svor	s v uː r
svärd	ˈs v æː r d
svärd	/ e n . w i k t i o n a r y . o r g
svärd	/ e n . w i k t i o n a r y . o r g
svärta	ˌs v ɛ ˈʈ a
svärta	/ e n . w i k t i o n a r y . o r g
svåger	ˈs v oː ɡ ə r
svår	¹ s v oː r
svår	/ e n . w i k t i o n a r y . o r g
svår	/ e n . w i k t i o n a r y . o r g
svårt	s v oː ʈ
swisha	² s w ɪ ɕː a
swisha	² s v ɪ ɕː a
syd	s yː d
sydafrikansk	s ỵː d a f r i k aː n s k
Sydkorea	² s yː d k ʊ ˌr eː a
sydsamiska	ˈs yː d s ɑː m ɪ s k a
syl	s yː l
syll	s ʏ l
syll	/ e n . w i k t i o n a r y . o r g
sylt	s ʏ l t
sylta	ˈs ʏ l ˌt a
sylvass	ˈs yː l ˌv a s
symfoni	s ʏ m f ʊ ˈn iː
symfoniorkester	s ʏ m f ʊ ˈn iː ɔ r k ɛ s t ɛ r
syntes	s ʏ n ˈt eː s
syra	ˈs yː ˌr a
syrak	ˈs yː r a k
syrak	/ e n . w i k t i o n a r y . o r g
syre	ˈs yː ˌr ɛ
syrra	² s ʏ r a
syssling	² s ʏ s l ɪ ŋ
syssna	² s ʏ s n a
syssna	/ e n . w i k t i o n a r y . o r g
Systemet	s ʏ ² s t eː m ɛ t
Systemet	/ e n . w i k t i o n a r y . o r g
syster	ˈs ʏ sː t ɛ r
sädesfrö	² s ɛː d ɛ s ˌf r øː
sädgås	ˈs ɛː d ˌɡ oː s
sädgås	/ e n . w i k t i o n a r y . o r g
säga	ˈs ɛ jː a
säl	s ɛː l
sälarna	ˈs æː . l a . ˌɳ a
sälg	s ɛ l j
sälja	ˈs ɛ lː ˌj a
säljare	ˈs ɛ l j a r e
säll	s ɛ l
säng	s ɛ ŋː
säng	/ e n . w i k t i o n a r y . o r g
sängram	ˈs ɛ ŋ ˌr ɑː m
SÄPO	ˈs ɛː p ʊ
särbo	ˈs ɛː r b ʊ
särbo	² s ɛː r ˌb uː
särskild	² s ɛː r ɧ ɪ l d
särskild	/ e n . w i k t i o n a r y . o r g
särskild	/ e n . w i k t i o n a r y . o r g
särskrivning	² s ɛː r ˌs k r iː v n ɪ ŋ
sätt	s ɛ tː
sävsångare	s ɛː v ˈs ɔ ŋ a r ɛ
så	s oː
såg	s oː ɡ
sågverk	ˈs oː ɡ ˌv ɛ r k
sån	ˈs oː n
sån	ˈs ɔ nː
sån	ˈs ɔ nː
sån	/ e n . w i k t i o n a r y . o r g
sån	ˈs ɔ nː
sån	/ e n . w i k t i o n a r y . o r g
sång	ˈs ɔ ŋː
sångsvan	ˌs ɔ ŋ ˈs v ɑː n
sångsvan	/ e n . w i k t i o n a r y . o r g
sånär	s ɔ ˈn ɛː r
sår	s oː r
sår	/ e n . w i k t i o n a r y . o r g
sås	ˈs oː s
söder	s øː d ə r
Södermanland	ˈs øː d ɛ r m a n l a n d
Södermanland	ˈs œ r m l a n d
Södermanland	ˈs œ r m l a n d
Södertälje	s œ d ɛ ˈʈ ɛ lː j ɛ
sökbar	² s ø k b ɑː r
söm	s œ m
sömn	s œ m n
söndag	ˈs œ n d ɑː ɡ
söndag	ˈs œ n d a
sörja	/ e n . w i k t i o n a r y . o r g
sörja	/ e n . w i k t i o n a r y . o r g
sörja	/ e n . w i k t i o n a r y . o r g
sörpla	/ e n . w i k t i o n a r y . o r g
sörpla	/ e n . w i k t i o n a r y . o r g
sörpla	/ e n . w i k t i o n a r y . o r g
söt	s øː t
sötebröd	² s øː t ɛ ˌb r øː d
sötebrödsdagar	² s øː t ɛ b r øː d s ˌd ɑː ɡ a r
sött	s œ t
Söul	ˈs øː ˌʉː l
t	t eː
t	t
t	t
t	t
t	t í
ta	t ɑː
ta	t a
ta	t a
ta	t a
ta	t a
ta	t a
ta	t a
ta	t a
ta	t à
ta	t à
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t ā
ta	t a ˧
tabbe	ˌt a ˈb ɛ
tack	t a k
tag	t ɑː ɡ
tag	/ e n . w i k t i o n a r y . o r g
tag	/ e n . w i k t i o n a r y . o r g
tag	/ e n . w i k t i o n a r y . o r g
tag	/ e n . w i k t i o n a r y . o r g
taggstjärtseglare	t a ɡ ɧ ɛ ʈ ˈs eː ɡ l a ɾ ɛ
taggstjärtseglare	/ e n . w i k t i o n a r y . o r g
taiwanmes	t a j w a n ˈm eː s
taiwanmes	/ e n . w i k t i o n a r y . o r g
tajgasädgås	ˌt a j ɡ a ˈɡ oː s
tajgasädgås	/ e n . w i k t i o n a r y . o r g
tajgasångare	t a j ɡ a ˈs ɔ ŋ a r ɛ
tak	t ɑː k
tak	/ e n . w i k t i o n a r y . o r g
tak	/ e n . w i k t i o n a r y . o r g
tak	/ e n . w i k t i o n a r y . o r g
tak	/ e n . w i k t i o n a r y . o r g
tala	ˈt ɑː ˌl a
tala	ˈt a l a ʔ
tala	t a ˈl a ʔ
tala	t a ˈl a ʔ
tala	ˈt a l a
tala	ˈt a l a
tala	ˈt a . l a
tala	ˈt a . l a
tala	ˈt a l a
tala	ˈt aː l a
tala	ˈt a l a
tala	ˈt̪ a . l̪ a
talang	t a ˈl a ŋ
talang	ˈt a l a ŋ
talang	/ e n . w i k t i o n a r y . o r g
talang	/ e n . w i k t i o n a r y . o r g
talko	ˈt a lː k ɔ
tall	t a l
tallbit	ˌt a l ˈb iː t
tallbit	/ e n . w i k t i o n a r y . o r g
tallgråmes	t a l ˌɡ ɾ oː ˈm eː s
tallgråmes	/ e n . w i k t i o n a r y . o r g
talong	t a l ɔ ŋ
talong	t a ˈl o ŋ
talong	/ e n . w i k t i o n a r y . o r g
tambur	t a m ˈb ʉː r
tand	ˈt a n d
tango	ˈt a ŋ ɡ ʊ
tango	t a ˈŋ o ʔ
tango	t a ˈŋ o ʔ
tango	/ e n . w i k t i o n a r y . o r g
tango	/ e n . w i k t i o n a r y . o r g
tanig	t ɑː ˈn ɪ ɡ
tanke	² t a ŋː k ɛ
tanke	ˈt a ŋ k ə
tanke	ˈt a ŋ k ə
tankesmedja	² t a ŋ k ɛ ˌs m eː d j a
tant	t a n t
tant	t a n t
tant	/ e n . w i k t i o n a r y . o r g
Tarzan	¹ t a ʂ a n
tasse	² t a s ɛ
tasse	/ e n . w i k t i o n a r y . o r g
tassemark	² t a s ɛ ˌm a r k
tatarfalk	t a t ɑː r ˈf a l k
tatarfalk	/ e n . w i k t i o n a r y . o r g
tatta	² t a tː a
tattare	ˈt a ˌtː a r e
tatuera	t a t ɵ ˈeː r a
te	t eː
te	ˈt e
te	ˈt e
te	t e
te	t eː
te	t̪ e
te	t̪ e
team	t iː m
team	/ e n . w i k t i o n a r y . o r g
teg	t eː ɡ
teg	t eː ɡ
teg	t eː ɡ
teg	/ e n . w i k t i o n a r y . o r g
telefon	t ɛ l ɛ ˈf oː n
telefon	t e l e ˈf uː n
telefon	t ɛ l ɛ ˈf uː n
telefon	/ e n . w i k t i o n a r y . o r g
telefon	t e l e ˈf uː n
telefon	t ɛ l ɛ ˈf uː n
telefon	/ e n . w i k t i o n a r y . o r g
telefon	t ɛ l ɛ ˈf uː n
telefon	/ e n . w i k t i o n a r y . o r g
television	t ɛ l ɛ v ɪ ˈɧ uː n
teoretiker	t ɛ ʊ ˈr eː t ɪ k ɛ r
teoretisk	t ɛ ʊ ˈr eː t ɪ s k
teori	t ɛ ʊ ˈr iː
teori	/ e n . w i k t i o n a r y . o r g
teori	/ e n . w i k t i o n a r y . o r g
tepumla	² t eː ˌp ɵ m l a
terapeut	t æ r ˌa p ɛː v t
terapeut	t æ r ˌa p ɛː f t
terapeut	t æ r ˌa p œ j t
terapeut	t æ r ˌa p œ j t
terapeutisk	t e r a ˈp e f t ɪ s k
terbium	ˈt ɛ r b ɪ ɵ m
tereksnäppa	ˌt ɛ r ɛ k ˈs n ɛ p a
tereksnäppa	/ e n . w i k t i o n a r y . o r g
teve	ˈt eː ˌv eː
teve	ˈt eː ˌv ɛ
Therese	t ɛ ˈr eː s
Thunberg	ˈt ʉ̂ː n b æ r j
tid	t iː d
tid	/ e n . w i k t i o n a r y . o r g
tid	/ e n . w i k t i o n a r y . o r g
tiden	ˈt iː d ɛ n
tiden	ˈt iː n
tidning	² t iː n ɪ ŋ
tiger	¹ t iː ɡ ɛ r
tik	t iː k
tik	t i k
tik	t i k
tikar	t iː k a r
tiken	t iː k ɛ n
till	t ɪ l
tillbaka	t ɪ l ˈb ɑː k a
tillförordnad	² t ɪ l f œː r ˌoː r d n a d
tillhandahålla	t ɪ l ² h a n d a ˌh ɔ l a
tills	t ɪ l s
tills	t ɪ s
tillsammans	t ɪ l ¹ s a m a n s
tillverkare	² t ɪ l ˌv ɛ r k a r ɛ
timmar	ˈt ɪ mː ˌa r
Tina	² t iː n a
tio	ˈt iː ˌʊ
tio	ˈt iː ˌɛ
tionde	ˈt iː ˌɔ n d ɛ
tisdag	ˈt iː s d ɑː ɡ
tisdag	ˈt iː s d a
titan	t ɪ ˈt ɑː n
titan	/ e n . w i k t i o n a r y . o r g
titan	/ e n . w i k t i o n a r y . o r g
titan	/ e n . w i k t i o n a r y . o r g
titan	/ e n . w i k t i o n a r y . o r g
titel	ˈt ɪ t ɛ l
titel	ˈt iː t ɛ l
tivoli	ˈt ɪ v ʊ l iː
tivoli	ˈt iː v ʊ l iː
tivoli	ˈt ɪ v ɔ l iː
tivoli	ˈt iː v ɔ l iː
tja	ɕ a
tja	t͡ɕ ɑ
tja	t ɕ ɑː
tja	t
tja	t͡ɕ ɑ
tja	t ɕ ɑː
tja	t
tja	t ɕ ɑː
tja	t
tjabba	ˈɕ a b a
tjalla	² ɕ a l a
tjalla	/ e n . w i k t i o n a r y . o r g
tjeck	ɕ ɛ kː
tjej	ɕ ɛ j
tjej	/ e n . w i k t i o n a r y . o r g
tjena	ˈɕ eː n a
tjena	ˈt͡ɕ eː n ɑ
tjena	ˈt͡ɕ eː n ɑ
tjenare	² ɕ eː n a r ɛ
tjenare	ˈt͡ɕ eː n ɑ r e
tjenare	ˈt͡ɕ eː n ɑ r e
tjenixen	ɕ e ˈn ɪ k s ɛ n
tji	ɕ iː
tji	/ e n . w i k t i o n a r y . o r g
tjock	ɕ ɔ k
tjockfot	ˌɧ ɔ k ˈf uː t
tjockfot	/ e n . w i k t i o n a r y . o r g
tjog	ɕ oː ɡ
tjorre	² ɕ ɔ r ɛ
tjuga	ˈɕ ʉː ˌɡ a
tjugo	² ɕ ʉː ɡ ʊ
tjugo	ɕ ɵ
tjugo	² ɕ ʉː ɡ ɛ
tjugo	² ɕ ʉː ɡ ɪ
tjugo	ˈt ɕ ʉː ɡ ʊ
tjugo	ˈt ɕ ʉː ɡ ʉ
tjugo	/ e n . w i k t i o n a r y . o r g
tjugo	² ɕ ʉː ɡ ɛ
tjugo	² ɕ ʉː ɡ ɪ
tjugo	ˈt ɕ ʉː ɡ ʊ
tjugo	ˈt ɕ ʉː ɡ ʉ
tjugo	/ e n . w i k t i o n a r y . o r g
tjugo	² ɕ ʉː ɡ ɪ
tjugo	ˈt ɕ ʉː ɡ ʊ
tjugo	ˈt ɕ ʉː ɡ ʉ
tjugo	/ e n . w i k t i o n a r y . o r g
tjugo	ˈt ɕ ʉː ɡ ʊ
tjugo	ˈt ɕ ʉː ɡ ʉ
tjugo	/ e n . w i k t i o n a r y . o r g
tjugonde	ˈɕ ʉː ˌɡ ɔ n d ɛ
tjugotredje	ɕ ʉː ɡ ʊ ˈt r eː ˌd j e
tjur	ɕ ʉː r
tjur	/ e n . w i k t i o n a r y . o r g
tjuring	² ɕ ʉ̟ː r ɪ ŋ
tjusa	² ɕ ʉː s a
tjuta	² ɕ ʉː t a
tjuta	/ e n . w i k t i o n a r y . o r g
tjuv	ɕ ʉː v
tjuv	/ e n . w i k t i o n a r y . o r g
tjuvsena	ˈɕ ʉ v ˌs eː n a
tjänare	² ɕ ɛː n a r ɛ
tjänare	ˈt͡ɕ eː n ɑ r e
tjänare	ˈt͡ɕ eː n ɑ r e
tjänixen	ɕ ɛ ˈn ɪ k s ɛ n
tjära	ˈɕ ɛː ˌr a
tjärn	ɕ ɛː r n
tjôta	² ɕ œː t a
tjöta	² ɕ œː t a
toa	² t uː ˌa
toa	/ e n . w i k t i o n a r y . o r g
toa	/ e n . w i k t i o n a r y . o r g
toa	/ e n . w i k t i o n a r y . o r g
toa	/ e n . w i k t i o n a r y . o r g
toalett	t uː a ˈl ɛ t
tobak	ˈt uː b a k
tobisgrissla	ˌt uː b ɪ s ˈɡ r ɪ s l a
toffelhjälte	² t ɔ f ɛ l ˌj ɛ l t ɛ
tofflor	ˈt ɔ f l ʊ ɹ
tofslunne	ˌt ɔ f s ˈl ɵ n ɛ
tofsvipa	ˌt ɔ f s ˈv iː p a
tofsvipa	/ e n . w i k t i o n a r y . o r g
tog	t uː ɡ
tok	t uː k
tolfte	ˈt ɔ l f ˌt ɛ
tolv	t ɔ l v
tom	t u m
tom	t oː m
tom	/ e n . w i k t i o n a r y . o r g
tom	t oː m
tom	/ e n . w i k t i o n a r y . o r g
tomte	ˈt ɔ m ˌt e
tomten	¹ t ɔ m t ɛ n
tomten	² t ɔ m t ɛ n
tomten	² t ɔ m t ɛ n
ton	ˈt ɔ n
ton	ˈt uː n
ton	ˈt uː n
ton	t o n
ton	t o n
ton	t o n
ton	t ɔ n
ton	/ e n . w i k t i o n a r y . o r g
ton	ˈt uː n
ton	t o n
ton	t o n
ton	t o n
ton	t ɔ n
ton	/ e n . w i k t i o n a r y . o r g
tonartshöjning	² t uː n a r t s ˌh œ j n ɪ ŋ
toppskarv	t ɔ p ˈs k a r v
Tor	t uː r
tordas	/ e n . w i k t i o n a r y . o r g
tordes	/ e n . w i k t i o n a r y . o r g
torg	t ɔ r j
torium	ˈt uː r ɪ ɵ m
Tornedalen	ˈt oː r n ɛ ˌd ɑː l ɛ n
Tornedalen	/ e n . w i k t i o n a r y . o r g
tornedalsfinska	ˈt oː r n ɛ d ɑː l s ˌf ɪ n s k a
tornedalsfinska	/ e n . w i k t i o n a r y . o r g
tornseglare	ˌt uː ŋ ˈs eː ɡ l a ɾ ɛ
tornseglare	/ e n . w i k t i o n a r y . o r g
torsdag	ˈt uː r s d ɑː ɡ
torsdag	ˈt uː r s d a
torsdag	ˈt uː r s d a
torsdag	/ e n . w i k t i o n a r y . o r g
toscakaka	ˈt ɔ s . k a ˌk ɑː k a
total	t ʊ ˈt ɑː l
total	/ e n . w i k t i o n a r y . o r g
tragedi	ˌt r a ɧ ɛ ˈd iː
trapp	t ɾ a p
trapp	/ e n . w i k t i o n a r y . o r g
trast	¹ t r a s t
trast	/ e n . w i k t i o n a r y . o r g
trastsångare	t r a s t ˈs ɔ ŋ a r ɛ
tre	t r eː
tre	t r eː
tre	t r eː
tre	t r eː
tre	t r eː
tre	t r eː
tre	/ e n . w i k t i o n a r y . o r g
tredje	ˈt r eː ˌd j ɛ
tremänning	² t r eː ˌm ɛ n ɪ ŋ
tretal	t r eː t ɑː l
trettio	² t r ɛ t ɪ . ʊ
trettio	² t r ɛ t ɪ
tretton	ˈt r ɛ ˌtː ɔ n
triathlon	ˈt r iː a t l ɔ n
triljard	t r ɪ l ˈj ɑː r d
triljon	t r ɪ l ˈj uː n
trivas	ˈt r iː ˌv a s
trivsel	ˈt r ɪ f s e lː
trivsel	ˈt r ɪ v s e lː
tro	t r uː
tro	t r oː
tro	t r oː
tro	t r oː
tro	t r oː
tro	/ e n . w i k t i o n a r y . o r g
Troca	² t r ɔ k a
Troca	/ e n . w i k t i o n a r y . o r g
troll	t r ɔ lː
trolla	ˈt r ɔ lː ˌa
Tromsø	ˈt r ʊ m s œ
tron	ˈt r uː n
trona	t r ûː n a
tror	t r uː r
trosa	t r uː s a
truga	ˈt r ʉː ˌɡ a
trumpet	t r ɵ m ˈp eː t
trä	t r ɛː
träd	t r ɛː d
träd	t r ɛː
träd	t r ɛː
träd	t r ɛː
träd	d
träd	t r ɛː d
träd	/ e n . w i k t i o n a r y . o r g
träd	t r ɛː d
träd	/ e n . w i k t i o n a r y . o r g
trädgård	ˈt r ɛː ɡ ɔ r d
trädgård	ˈt r ɛː ɡ oː r d
trädmås	ˌt r ɛ d ˈm oː s
trädpiplärka	t r ɛ d p iː p ˈl ɛ r k a
träl	t r ɛː l
träldom	ˈt r ɛː l ˌd ʊ m
träna	ˈt r ɛː n a
träna	² t r ɛː n a
träna	² t r ɛː n a
träna	/ e n . w i k t i o n a r y . o r g
träna	² t r ɛː n a
träna	/ e n . w i k t i o n a r y . o r g
tränga	t r ɛ ŋː a
tråd	ˈt r oː d
tråg	t r oː ɡ
tsar	t s ɑː r
tsar	s ɑː r
tsunami	t s ʉː ˈn ɑː m ɪ
tsunami	t s ɵ ˈn ɑː m ɪ
tsunami	t s u ˈn a m i
tsunami	t u . s u . ˈn a . m i
tsunami	t u . s u . ˈn a . m i
tuff	t ɵ f
tugga	/ e n . w i k t i o n a r y . o r g
tukan	t ɵ ˈk ɑː n
tumme	/ e n . w i k t i o n a r y . o r g
tundrasnäppa	ˌt ɵ n d r aː ˈs n ɛ p a
tundrasnäppa	/ e n . w i k t i o n a r y . o r g
tundravarg	² t ɵ n d r a ˌv a r j
tung	t ɵ ŋ
tung	/ e n . w i k t i o n a r y . o r g
tung	/ e n . w i k t i o n a r y . o r g
tung	/ e n . w i k t i o n a r y . o r g
tunga	² t ɵ ŋ a
tunga	/ e n . w i k t i o n a r y . o r g
tunga	/ e n . w i k t i o n a r y . o r g
tungel	ˈt ɵ ŋ ɛ l
tunnbröd	² t ɵ n b r œː d
tunnbrödsrulle	² t ɵ n b r œː d s ˌr ɵ l ɛ
tunnel	² t ɵ n ɛ l
tunnelbana	² t ɵ n ɛ l b ɑː n a
turban	t ɵ r ˈb ɑː n
turkestantörnskata	t ɵ r k ɛ s t ɑː n t øː r n ˈs k ɑː t a
tusen	ˈt ʉː s ɛ n
tuvsnäppa	ˌt ʉː v ˈs n ɛ p a
tuvsnäppa	/ e n . w i k t i o n a r y . o r g
tv	ˈt eː ˌv eː
tv	ˈt eː ˌv ɛ
tv	ˈt eː f eː
tvedräkt	² t v eː ˌd r ɛ k t
tveeggad	² t v eː ˌɛ ɡ a d
tvegifte	² t v eː ˌj ɪ f t ɛ
tvehågsen	² t v eː ˌh oː ɡ s ɛ n
tvehövdad	² t v eː ˌh œ v d a d
tvesovla	² t v eː ˌs oː v l a
tvestjärt	² t v eː ˌɧ ɛ r t
tvivla	t v iː v l a
tvärtom	t v ɛː ʈ ˈɔ m
tvärtom	/ e n . w i k t i o n a r y . o r g
tvättbjörn	ˈt v ɛ t ˌb j øː ɳ
tvätterska	ˌt v ɛ ˈt ɛ ʂ k a
tvätterska	/ e n . w i k t i o n a r y . o r g
tvättmedel	ˌt v ɛ t ˈm eː d ɛ l
tvättmedel	/ e n . w i k t i o n a r y . o r g
två	t v oː
tvång	t v ɔ ŋ
tvångssvenska	ˈt v ɔ ŋ s ˌs v e n s k ɑ
tvångssvenska	² t v ɔ ŋ s ˌs v ɛ n s k a
tvångssvenska	² t v ɔ ŋ s ˌs v ɛ n s k a
ty	t yː
ty	t̪ ɨ
tycka	ˈt ʏ ˌk a
tyda	² t yː d a
tyda	/ e n . w i k t i o n a r y . o r g
tyg	t yː ɡ
tyg	/ e n . w i k t i o n a r y . o r g
tygelmes	t yː ɡ ɛ l ˈm eː s
tygelmes	/ e n . w i k t i o n a r y . o r g
tygeltärna	ˌt yː ɡ ɛ l ˈt ɜ r n a
tykobrahedag	t ʏ k ʊ ˈb r ɑː ɛ ˌd ɑː ɡ
tyngst	t ʏ ŋ s t
tysk	t ʏ s k
tysk	/ e n . w i k t i o n a r y . o r g
tyska	² t ʏ s k a
Tyskland	ˈt ʏ s k l a n d
tyst	ˈt ʏ sː t
tyst	t ɨː s d
tyst	t ɪ s d
tyst	t ɪ s d
tyst	/ e n . w i k t i o n a r y . o r g
tzatziki	t s a ˈt s iː k ɪ
täcke	² t ɛ kː ɛ
täckt	t ɛ k t
täkt	t ɛ k t
tända	² t ɛ n d a
tänkte	ˈt ɛ ŋ k t ɛ
tärnmås	ˌt ɛː r n ˈm oː s
tå	t oː
tå	t̪ ə m
tå	t̪ ə m
tåg	t oː ɡ
tår	t oː r
tö	t øː
tö	/ e n . w i k t i o n a r y . o r g
töras	ˈt øː r a s
törnekrona	² t øː r n ɛ ˌk r uː n a
törnekrona	/ e n . w i k t i o n a r y . o r g
